expression,value,frequency
64080*0,0,56710719
-30520*0,0,55378016
-7897*0,0,54672751
23985*0,0,54322910
51683*0,0,54135482
63149*0,0,28507185
62131*0,0,28049539
31444*0,0,27746947
41328*0,0,27625719
47591*0,0,27588842
9392*0,0,27395754
-8262*0,0,27201311
-2664*0,0,27127490
-30520*6,-183120,13751750
64080*9,576720,13624688
64080*6,384480,13045830
-30520*4,-122080,13036340
-7897*8,-63176,11026260
-7897*12,-94764,10977980
23985*12,287820,10505223
51683*20,1033660,10176972
23985*18,431730,10086328
51683*30,1550490,9576739
-30520*8,-244160,9191916
-30520*2,-61040,8268897
64080*12,768960,8268740
64080*3,192240,7436448
-30520*7,-213640,6869933
62131*10,621310,6665973
62131*15,931965,6621282
63149*15,947235,6503767
-7897*4,-31588,6455366
-30520*10,-305200,6451690
-30520*5,-152600,6410086
-7897*16,-126352,6191613
63149*10,631490,6189357
31444*12,377328,6074264
31444*8,251552,6020136
23985*6,143910,5992717
-30520*9,-274680,5983836
9392*8,75136,5808995
9392*12,112704,5792880
51683*10,516830,5789356
47591*12,571092,5751687
47591*18,856638,5611008
-8262*12,-99144,5485329
41328*20,826560,5409320
41328*30,1239840,5265145
64080*15,961200,5246129
-8262*18,-148716,5240836
23985*24,575640,5228466
-2664*20,-53280,5176443
-2664*30,-79920,5014806
-30520*11,-335720,4913043
-30520*12,-366240,4699094
51683*40,2067320,4618159
-30520*3,-91560,4129526
-30520*13,-396760,4073820
62131*5,310655,3861809
-30520*14,-427280,3858622
63149*20,1262980,3841400
64080*11,704880,3789222
-30520*1,-30520,3767782
62131*20,1242620,3765450
64080*10,640800,3732439
-7897*20,-157940,3730556
64080*18,1153440,3674304
-7897*14,-110558,3654605
64080*14,897120,3652775
64080*13,833040,3645580
9392*4,37568,3627975
63149*5,315745,3573283
31444*16,503104,3483159
31444*4,125776,3456950
-7897*10,-78970,3436203
-8262*6,-49572,3427590
9392*16,150272,3373054
64080*8,512640,3277195
47591*6,285546,3270595
-30520*15,-457800,3246236
64080*16,1025280,3229401
-30520*16,-488320,3224143
-7897*18,-142146,3170494
-7897*15,-118455,3156757
41328*10,413280,3128049
64080*17,1089360,3105490
-7897*13,-102661,3035850
-2664*10,-26640,3014324
-7897*17,-134249,3013848
64080*21,1345680,3000651
47591*24,1142184,2973158
64080*7,448560,2955997
-7897*11,-86867,2908663
23985*30,719550,2863292
-8262*24,-198288,2790778
-7897*19,-150043,2780998
64080*19,1217520,2693890
64080*20,1281600,2644753
41328*40,1653120,2641699
-7897*21,-165837,2631065
-7897*22,-173734,2578905
-2664*40,-106560,2574752
-30520*17,-518840,2517342
-7897*24,-189528,2516731
64080*24,1537920,2476981
-30520*18,-549360,2470624
-30520*20,-610400,2432646
23985*23,551655,2349625
64080*1,64080,2335073
23985*17,407745,2325223
-7897*23,-181631,2313120
51683*50,2584150,2284915
-7897*9,-71073,2284204
63149*25,1578725,2280402
23985*19,455715,2265904
64080*22,1409760,2211424
9392*14,131488,2199120
-7897*25,-197425,2197120
23985*25,599625,2196270
23985*22,527670,2188194
62131*25,1553275,2187468
-7897*6,-47382,2185661
9392*10,93920,2164399
23985*20,479700,2162832
-7897*26,-205322,2136507
64080*30,1922400,2124170
64080*23,1473840,2119187
-7897*28,-221116,2104151
31444*20,628880,2084398
31444*14,440216,2081761
-7897*1,-7897,2075670
23985*16,383760,2069182
9392*20,187840,2044846
64080*5,320400,2014966
64080*4,256320,2000055
23985*26,623610,1993759
-7897*27,-213219,1992888
64080*27,1730160,1990597
23985*29,695565,1986650
-7897*2,-15794,1960488
31444*10,314440,1935561
23985*28,671580,1933836
51683*28,1447124,1929604
23985*1,23985,1917145
23985*31,743535,1871752
64080*2,128160,1859467
-30520*19,-579880,1855366
51683*32,1653856,1836640
-7897*32,-252704,1828646
51683*38,1963954,1817027
23985*36,863460,1810850
23985*27,647595,1807372
9392*18,169056,1806862
23985*21,503685,1798302
31444*18,565992,1795005
-7897*7,-55279,1775568
23985*14,335790,1772985
-7897*29,-229013,1771746
51683*36,1860588,1761290
64080*25,1602000,1752274
51683*34,1757222,1732596
23985*13,311805,1723606
51683*26,1343758,1715729
-7897*30,-236910,1713821
-30520*32,-976640,1691529
-30520*137,-4181240,1678084
-30520*136,-4150720,1677643
-30520*138,-4211760,1674585
-30520*134,-4089680,1673922
-30520*135,-4120200,1673375
-30520*139,-4242280,1673036
-30520*140,-4272800,1670636
23985*32,767520,1663348
-30520*141,-4303320,1662622
-7897*40,-315880,1661542
-30520*133,-4059160,1661399
-30520*142,-4333840,1658075
51683*2,103366,1657409
-30520*132,-4028640,1654277
-30520*131,-3998120,1647630
-30520*143,-4364360,1646781
23985*34,815490,1644079
-30520*130,-3967600,1642824
47591*30,1427730,1641299
51683*24,1240392,1637480
-30520*129,-3937080,1633443
-30520*144,-4394880,1633347
64080*26,1666080,1628648
-30520*128,-3906560,1625434
51683*42,2170686,1624474
-30520*145,-4425400,1616081
-30520*127,-3876040,1615894
23985*33,791505,1615086
-30520*22,-671440,1614461
-30520*126,-3845520,1607318
-30520*146,-4455920,1602677
-30520*125,-3815000,1599584
-7897*3,-23691,1595348
-30520*124,-3784480,1592384
64080*48,3075840,1583738
23985*35,839475,1583334
-30520*147,-4486440,1581526
-30520*123,-3753960,1572735
-7897*31,-244807,1566856
-30520*122,-3723440,1562757
-30520*148,-4516960,1562332
-7897*5,-39485,1549406
-30520*121,-3692920,1547309
-8262*30,-247860,1547061
-30520*149,-4547480,1545377
-30520*120,-3662400,1537030
-30520*150,-4578000,1528616
23985*37,887445,1523892
23985*42,1007370,1521454
-30520*119,-3631880,1519898
-30520*151,-4608520,1509749
-30520*118,-3601360,1506055
-8262*15,-123930,1494163
-30520*152,-4639040,1492355
-30520*117,-3570840,1488017
51683*44,2274052,1477453
-30520*116,-3540320,1477144
51683*22,1137026,1471982
-30520*153,-4669560,1468506
-30520*21,-640920,1459145
-7897*36,-284292,1457294
-30520*115,-3509800,1456624
